"","Year","Artichokes","Asparagus","Bell Peppers","Broccoli","Brussels Sprouts","Cabbage","Carrots","Cauliflower","Celery","Collard Greens","Sweet Corn","Cucumbers","Eggplant","Escarole","Garlic","Head Lettuce","Kale","Romaine Lettuce","Lima Beans","Mushrooms","Mustard Greens","Okra","Onions","Potatoes","Pumpkin","Radishes","Snap Beans","Spinach","Squash","Sweet Potatoes","Tomatoes","Turnip Greens","Canned Asparagus","Canned Snap Beans","Canned Cabbage","Canned Carrots","Canned Sweet Corn","Canned Cucumbers","Canned Green Peas","Canned Mushrooms","Canned Chile Peppers","Canned Potatoes","Canned Tomatoes","Other Canned Vegetables","Frozen Asparagus","Frozen Snap Beans","Frozen Broccoli","Frozen Carrots","Frozen Cauliflower","Frozen Sweet Corn","Frozen Green Peas","Frozen Lima Beans","Frozen Potatoes","Frozen Spinach","Other Frozen Vegetables","Dehydrated Onions","Dehydrated Potatoes","Chips, Potatoes","Dry Edible Beans","Dry Peas and Lentils"
"1",1970,0.07,0.04,0.23,0.1,0.1,1.29,1.63,0.07,0.69,"NA",1.87,0.18,0.04,0.07,0.31,2.02,"NA","NA","NA",0.05,"NA","NA",2.19,46.31,"NA",0.04,0.31,0.04,0.13,1.8,2.15,"NA",0.11,0.55,0.19,0.32,7.59,1.33,1.27,0.17,"NA",0.7,3.39,0.55,0.02,0.29,0.21,0.22,0.06,0.94,1.22,0.61,9.83,0.13,0.4,0.51,6.65,26.64,8.96,0.88
"2",1971,0.07,0.03,0.24,0.13,0.1,1.32,1.67,0.06,0.69,"NA",1.79,0.17,0.04,0.07,0.21,2.02,"NA","NA","NA",0.05,"NA","NA",2.32,42.01,"NA",0.04,0.3,0.04,0.14,1.63,2.01,"NA",0.11,0.54,0.2,0.3,7.87,1.3,1.26,0.2,"NA",0.76,3.73,0.6,0.02,0.29,0.2,0.21,0.07,0.9,1.3,0.54,10.61,0.14,0.47,0.64,6.83,26.28,9.7,0.81
"3",1972,0.08,0.04,0.26,0.13,0.09,1.25,1.78,0.07,0.67,"NA",1.86,0.19,0.05,0.07,0.27,2.02,"NA","NA","NA",0.06,"NA","NA",2.31,43.35,"NA",0.04,0.3,0.04,0.14,1.61,2.14,"NA",0.11,0.55,0.18,0.36,7.97,1.27,1.25,0.22,"NA",0.76,3.54,0.58,0.02,0.29,0.2,0.23,0.06,0.87,1.27,0.56,10.91,0.14,0.44,0.38,6.9,25.53,8.31,0.97
"4",1973,0.07,0.04,0.27,0.14,0.08,1.32,1.83,0.07,0.71,"NA",1.9,0.17,0.06,0.07,0.36,2.08,"NA","NA","NA",0.08,"NA","NA",2.22,39.28,"NA",0.04,0.28,0.04,0.15,1.67,2.21,"NA",0.12,0.58,0.17,0.34,7.7,1.33,1.36,0.21,"NA",0.8,3.19,0.58,0.02,0.36,0.22,0.28,0.07,0.97,1.23,0.57,12.57,0.12,0.5,0.5,7.26,24.96,10.72,0.67
"5",1974,0.07,0.03,0.29,0.14,0.11,1.32,1.89,0.07,0.69,"NA",1.85,0.19,0.05,0.07,0.45,2.12,"NA","NA","NA",0.1,"NA","0.03104284798808522",2.42,36.98,"NA",0.04,0.27,0.04,0.15,1.62,2.09,"NA",0.09,0.58,0.19,0.3,7.19,1.35,1.14,0.21,"NA",0.82,3.35,0.49,0.01,0.31,0.22,0.28,0.07,0.95,1.24,0.54,13.25,0.16,0.37,0.67,8.06,24.09,7.73,0.85
"6",1975,0.07,0.04,0.26,0.18,0.1,1.33,1.76,0.08,0.66,"NA",1.86,0.18,0.06,0.06,0.5,2.12,"NA","NA","NA",0.11,"NA","0.034360777730384651",2.27,39.44,"NA",0.05,0.29,0.04,0.16,1.78,2.12,"NA",0.1,0.53,0.17,0.28,6.4,1.44,1.12,0.22,"NA",0.72,3.38,0.54,0.02,0.24,0.22,0.25,0.07,1.02,1.2,0.46,14.21,0.13,0.42,0.85,8.16,23.72,9.68,0.46
"7",1976,0.08,0.04,0.28,0.2,0.11,1.25,1.75,0.09,0.69,"NA",1.92,0.19,0.06,0.06,0.33,2.18,"NA","NA","NA",0.12,"NA","0.022630040498442857",2.38,37.05,"NA",0.04,0.29,0.04,0.17,1.79,2.22,"NA",0.1,0.58,0.18,0.28,6.96,1.44,1.14,0.25,"NA",0.7,3.58,0.57,0.02,0.32,0.24,0.26,0.07,0.94,1.19,0.43,16,0.13,0.46,0.33,9.07,24.13,9,0.7
"8",1977,0.07,0.03,0.3,0.23,0.11,1.24,1.45,0.1,0.66,"NA",1.81,0.22,0.06,0.06,0.41,2.33,"NA","NA","NA",0.15,"NA","0.032245059691483904",2.39,37.52,"NA",0.05,0.27,0.05,0.19,1.56,2.18,"NA",0.08,0.57,0.18,0.28,7.51,1.35,1.21,0.28,"NA",0.79,3.43,0.55,0.02,0.29,0.24,0.28,0.07,1.19,1.12,0.35,16.16,0.14,0.4,0.58,6.32,24.88,9.58,0.4
"9",1978,0.07,0.03,0.29,0.18,0.11,1.28,1.45,0.07,0.67,"NA",1.58,0.24,0.06,0.06,0.43,2.26,"NA","NA","NA",0.18,"NA","0.06581583813808696",2.36,34.44,"NA",0.04,0.25,0.05,0.19,1.63,2.28,"NA",0.07,0.57,0.17,0.24,7.11,1.42,1.15,0.29,"NA",0.81,3.21,0.54,0.01,0.29,0.31,0.28,0.09,1.04,1.13,0.41,16.29,0.14,0.4,0.56,6.7,25.3,7.24,0.75
"10",1979,0.09,0.02,0.31,0.22,0.12,1.2,1.61,0.1,0.67,"NA",1.55,0.24,0.06,0.06,0.64,2.26,"NA","NA","NA",0.2,"NA","0.071876543552133132",2.48,36.97,"NA",0.04,0.26,0.06,0.21,1.68,2.2,"NA",0.06,0.56,0.17,0.27,6.73,1.37,1.04,0.3,"NA",0.76,3.51,0.47,0.01,0.3,0.3,0.29,0.08,1.12,1.2,0.45,14.74,0.14,0.37,0.83,6.21,25.52,8.94,0.61
