"","Year","Oranges","Tangerines","Grapefruit","Lemons","Limes","Apples","Apricots","Avocados","Bananas","Blueberries","Cantaloupe","Cherries","Cranberries","Grapes","Honeydew Melons","Kiwi","Mangoes","Peaches","Pears","Pineapple","Papayas","Plums","Raspberries","Strawberries","Watermelon","Canned Apples","Canned Apricots","Canned Cherries","Canned Olives","Canned Peaches","Canned Pears","Canned Pineapple","Canned Plum","Frozen Blackberries","Frozen Blueberries","Frozen Raspberries","Frozen Strawberries","Other Frozen Berries","Frozen Apples","Frozen Apricots","Frozen Cherries","Frozen Peaches","Frozen Plums and Prunes","Other Frozen Fruits","Dried Apples","Dried Apricots","Dried Dates","Dried Figs","Dried Peaches","Dried Pears","Dried Plums","Dried Raisins","Orange Juice","Grapefruit Juice","Lemon Juice","Lime Juice","Apple Juice","Cranberry Juice","Grape Juice","Pineapple Juice","Prune Juice"
"1",1970,3.76,0.36,1.11,0.2,0.03,7.07,0.03,0.39,9.07,"NA",0.69,0.13,0.07,1.35,0.08,"NA",0.03,1.44,0.85,0.11,0.01,0.46,"NA",0.35,1.71,3.16,0.23,0.19,1.41,2.23,1.57,2.19,0.07,0.05,0.09,0.07,0.41,0.03,0.22,0.02,0.24,0.1,"0.020416860287674789",0.58,0.29,0.15,0.58,0.48,0.05,"0.02726213572578387",1.72,3.27,15.37,2.03,0.17,0.01,2.28,"NA",1.23,1.31,0.69
"2",1971,3.67,0.41,1.15,0.21,0.03,6.81,0.04,0.71,9.43,"NA",0.66,0.18,0.07,1.19,0.08,"NA",0.03,1.4,1.14,0.1,0.01,0.4,"NA",0.37,1.65,2.95,0.19,0.19,1.48,2.25,1.92,2.2,0.08,0.07,0.07,0.08,0.44,0.04,0.2,0.03,0.26,0.1,"0.0089871431051179",0.58,0.15,0.1,0.58,0.44,0.05,"0.02726213572578387",1.45,3.51,15.73,2.4,0.19,0.02,2.52,"NA",1.69,1.28,0.64
"3",1972,3.37,0.36,1.15,0.18,0.03,6.43,0.02,0.37,9.36,"NA",0.67,0.1,0.06,1.18,0.09,"NA",0.03,0.96,1.02,0.12,0.01,0.33,"NA",0.34,1.56,2.61,0.19,0.18,1.2,2.02,1.75,2.12,0.04,0.05,0.08,0.06,0.41,0.03,0.25,0.02,0.25,0.11,"0.012255778066402297",0.62,0.2,0.1,0.56,0.28,0.05,"0.02726213572578387",1.22,2.5,17.26,2.38,0.2,0.02,1.95,"NA",1.07,1.22,0.58
"4",1973,3.36,0.36,1.15,0.18,0.03,6.67,0.03,0.61,9.48,"NA",0.58,0.2,0.07,1.35,0.09,"NA",0.04,1.06,1.15,0.15,0.02,0.35,"NA",0.32,1.61,3.33,0.21,0.12,1.33,1.92,1.93,1.72,0.07,0.03,0.07,0.05,0.38,0.02,0.27,0.03,0.32,0.08,"0.014281595307561687",0.7,0.36,0.13,0.73,0.39,0.02,"0.02726213572578387",1.37,3.42,17.31,2.54,0.31,0.02,1.66,"NA",1.35,1,0.37
"5",1974,3.36,0.39,1.11,0.19,0.03,6.79,0.02,1.06,9.65,"NA",0.51,0.16,0.06,1.47,0.08,"NA",0.05,1.07,1.11,0.14,0.02,0.46,"NA",0.37,1.43,3.21,0.12,0.18,1.16,2.22,1.79,1.58,0.07,0.02,0.06,0.04,0.37,0.02,0.19,0.02,0.2,0.1,"0.014623427818501214",0.51,0.29,0.08,0.58,0.35,0.02,"0.02726213572578387",1.27,3.62,17.86,2.42,0.18,0.02,2.11,"NA",1.44,0.87,0.53
"6",1975,3.7,0.45,1.13,0.19,0.03,8.07,0.02,0.63,9.21,"NA",0.5,0.19,0.05,1.69,0.09,"NA",0.06,1.23,1.23,0.16,0.02,0.41,"NA",0.36,1.45,2.66,0.19,0.15,1.42,1.95,1.85,1.84,0.06,0.04,0.08,0.04,0.43,0.02,0.1,0.02,0.18,0.1,"0.012144475324968448",0.4,0.33,0.13,0.76,0.35,0.05,"0.02726213572578387",1.5,3.38,19.27,2.52,0.49,0.02,2.46,"NA",1.3,1.01,0.42
"7",1976,3.43,0.42,1.25,0.18,0.04,7.07,0.03,1.01,10.05,"NA",0.5,0.22,0.07,1.65,0.09,"NA",0.07,1.27,1.26,0.18,0.02,0.39,"NA",0.33,1.6,2.38,0.16,0.1,1.53,1.96,2.07,1.85,0.08,0.05,0.06,0.06,0.38,0.03,0.18,0.02,0.27,0.05,"0.011566944833131107",0.52,0.34,0.15,0.73,0.37,0.05,"0.02726213572578387",1.32,3.33,21.39,1.99,0.18,0.02,2.25,"NA",1.25,1,0.48
"8",1977,3.13,0.47,1.04,0.2,0.04,6.84,0.03,0.97,10.03,"NA",0.55,0.17,0.07,1.66,0.09,"NA",0.05,1.26,1.06,0.22,0.03,0.48,"NA",0.39,1.6,2.73,0.15,0.12,1.65,2.02,2.15,1.84,0.06,0.05,0.06,0.06,0.37,0.02,0.15,0.03,0.26,0.1,"0.0082448573959110517",0.53,0.32,0.15,0.8,0.35,0.05,"0.02726213572578387",1.22,3.27,20.71,2.65,0.35,0.02,2.82,"NA",0.99,1.16,0.58
"9",1978,3.13,0.36,1.12,0.2,0.03,7.44,0.02,1.08,10.54,"NA",0.65,0.14,0.07,1.44,0.13,"NA",0.08,1.51,1.02,0.23,0.03,0.48,"NA",0.43,1.51,3.08,0.14,0.09,2.63,1.83,1.83,1.76,0.06,0.04,0.05,0.05,0.41,0.02,0.23,0.02,0.26,0.1,"0.0063450786771227854",0.61,0.31,0.1,0.76,0.37,0.02,"0.02726213572578387",1.07,2.88,17.81,2.82,0.37,0,3.43,"NA",1.73,1.19,0.48
"10",1979,2.68,0.36,0.98,0.18,0.04,7.11,0.02,0.73,10.95,"NA",0.61,0.18,0.05,1.62,0.13,"NA",0.08,1.65,1.02,0.23,0.02,0.5,"NA",0.38,1.44,3.31,0.14,0.09,1.29,1.87,2.24,1.92,0.05,0.03,0.06,0.04,0.38,0.02,0.16,0.02,0.21,0.08,"0.01165439012401151",0.47,0.35,0.15,0.58,0.37,0.02,"0.02726213572578387",0.95,3.44,18.43,2.7,0.2,0.01,3.81,"NA",1.31,1.4,0.53
